地块名,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜 ,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜 ,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌
E5,,,,,,,,,,,,,,,,,0.18,,,,,,0.06,,,,,,,,,,,0.36,,,,,,,
E6,,,,,,,,,,,,,,,,,0.18,,,,,,0.06,,,,,,,,,,,0.36,,,,,,,
E7,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.225,,,,,,,,,,,0.36,,,,,,,
E8,,,,,,,,,,,,,,,,,0.18,,,,,,0.225,,,,,,,,,,,0.36,,,,,,,
E9,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.006,,,,,,,,,,,0.36,,,,,,,
E10,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.06,,,,,,,,,,,0.36,,,,,,,
E11,,,,,,,,,,,,,,,,,0.18,,,,,,0.225,,,,,,,,,,,0.36,,,,,,,
E12,,,,,,,,,,,,,,,,,0.18,,,,,,0.06,,,,,,,,,,,0.36,,,,,,,
E13,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.06,,,,,,,,,,,0.36,,,,,,,
E14,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.06,,,,,,,,,,,0.36,,,,,,,
E15,,,,,,,,,,,,,,,,,0.18,,,,,,0.06,,,,,,,,,,,0.36,,,,,,,
E16,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.225,,,,,,,,,,,0.36,,,,,,,
F1,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.06,,,,,,,,,,,0.36,,,,,,,
F2,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.06,,,,,,,,,,,0.36,,,,,,,
F3,,,,,,,,,,,,,,,,,0.18,,,,,,0.06,,,,,,,,,,,0.36,,,,,,,
F4,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.06,,,,,,,,,,,0.36,,,,,,,
D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
