µØ¿éÃû,»Æ¶¹,ºÚ¶¹,ºì¶¹,ÂÌ¶¹,ÅÀ¶¹,Ð¡Âó,ÓñÃ×,¹È×Ó,¸ßÁ»,Êò×Ó,ÜñÂó,ÄÏ¹Ï,ºìÊí,Ý¯Âó,´óÂó,Ë®µ¾,ôø¶¹,µ¶¶¹,Ü¿¶¹,ÍÁ¶¹,Î÷ºìÊÁ,ÇÑ×Ó,²¤²Ë ,Çà½·,²Ë»¨,°ü²Ë,ÓÍÂó²Ë,Ð¡Çà²Ë,»Æ¹Ï,Éú²Ë ,À±½·,¿ÕÐÄ²Ë,»ÆÐÄ²Ë,ÇÛ²Ë,´ó°×²Ë,°×ÂÜ²·,ºìÂÜ²·,ÓÜ»Æ¹½,Ïã¹½,°×Áé¹½,Ñò¶Ç¾ú
E12,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
E13,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
E14,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
E15,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
E16,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
F1,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
F2,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
F3,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
F4,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.12,,,,,,,,
D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
